link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12]
5199,1086,3,1,1,5175,5178,5181,5184,5187,5190,,,,,,,
5200,1086,3,1,1,5146,5149,5152,5155,5158,5161,,,,,,,
5201,1086,3,1,1,5144,5147,5150,5153,5156,5159,5162,5176,5179,5182,5185,5188,5191
5202,1086,3,1,1,5143,,,,,,,,,,,,
5206,1101,1100,2,16384,5165,,,,,,,,,,,,
5210,1114,1113,2,16384,5168,,,,,,,,,,,,
5214,1124,1123,2,16384,5164,,,,,,,,,,,,
5218,1134,1133,2,16384,5166,,,,,,,,,,,,
5222,1144,1143,2,16384,5167,,,,,,,,,,,,
5226,1154,1153,2,16384,5163,,,,,,,,,,,,
5230,1173,1172,2,16384,5163,,,,,,,,,,,,
5234,1186,1185,2,16384,5164,,,,,,,,,,,,
5238,1199,1198,2,16384,5165,,,,,,,,,,,,
5242,1212,1211,2,16384,5166,,,,,,,,,,,,
5246,1225,1224,2,16384,5167,,,,,,,,,,,,
5250,1238,1237,2,16384,5168,,,,,,,,,,,,
5254,1300,1299,2,16384,5169,,,,,,,,,,,,
5258,1313,1312,2,16384,5170,,,,,,,,,,,,
5262,1326,1325,2,16384,5171,,,,,,,,,,,,
5266,1339,1338,2,16384,5172,,,,,,,,,,,,
5270,1352,1351,2,16384,5173,,,,,,,,,,,,
5274,1365,1364,2,16384,5174,,,,,,,,,,,,
5277,1031,5142,2,64,1100,1113,1123,1133,1143,1153,,,,,,,
5279,1032,5143,1,8,5142,,,,,,,,,,,,
5280,1032,5143,1,8,5142,,,,,,,,,,,,
5282,1033,5144,2,64,1100,1113,1123,1133,1143,1153,,,,,,,
5283,1033,5144,2,64,1100,1113,1123,1133,1143,1153,,,,,,,
5286,1036,5145,2,128,1172,,,,,,,,,,,,
5288,1037,5146,1,16,5145,,,,,,,,,,,,
5289,1037,5146,1,16,5145,,,,,,,,,,,,
5291,1038,5147,2,128,1172,,,,,,,,,,,,
5292,1038,5147,2,128,1172,,,,,,,,,,,,
5295,1039,5148,2,128,1185,,,,,,,,,,,,
5297,1040,5149,1,16,5148,,,,,,,,,,,,
5298,1040,5149,1,16,5148,,,,,,,,,,,,
5300,1041,5150,2,128,1185,,,,,,,,,,,,
5301,1041,5150,2,128,1185,,,,,,,,,,,,
5304,1042,5151,2,128,1198,,,,,,,,,,,,
5306,1043,5152,1,16,5151,,,,,,,,,,,,
5307,1043,5152,1,16,5151,,,,,,,,,,,,
5309,1044,5153,2,128,1198,,,,,,,,,,,,
5310,1044,5153,2,128,1198,,,,,,,,,,,,
5313,1045,5154,2,128,1211,,,,,,,,,,,,
5315,1046,5155,1,16,5154,,,,,,,,,,,,
5316,1046,5155,1,16,5154,,,,,,,,,,,,
5318,1047,5156,2,128,1211,,,,,,,,,,,,
5319,1047,5156,2,128,1211,,,,,,,,,,,,
5322,1048,5157,2,128,1224,,,,,,,,,,,,
5324,1049,5158,1,16,5157,,,,,,,,,,,,
5325,1049,5158,1,16,5157,,,,,,,,,,,,
5327,1050,5159,2,128,1224,,,,,,,,,,,,
5328,1050,5159,2,128,1224,,,,,,,,,,,,
5331,1051,5160,2,128,1237,,,,,,,,,,,,
5333,1052,5161,1,16,5160,,,,,,,,,,,,
5334,1052,5161,1,16,5160,,,,,,,,,,,,
5336,1053,5162,2,128,1237,,,,,,,,,,,,
5337,1053,5162,2,128,1237,,,,,,,,,,,,
5340,1054,5163,2,16384,1299,,,,,,,,,,,,
5341,1054,5163,2,16384,1299,,,,,,,,,,,,
5342,1054,5163,2,16384,1299,,,,,,,,,,,,
5345,1055,5164,2,16384,1312,,,,,,,,,,,,
5346,1055,5164,2,16384,1312,,,,,,,,,,,,
5347,1055,5164,2,16384,1312,,,,,,,,,,,,
5350,1056,5165,2,16384,1325,,,,,,,,,,,,
5351,1056,5165,2,16384,1325,,,,,,,,,,,,
5352,1056,5165,2,16384,1325,,,,,,,,,,,,
5355,1057,5166,2,16384,1338,,,,,,,,,,,,
5356,1057,5166,2,16384,1338,,,,,,,,,,,,
5357,1057,5166,2,16384,1338,,,,,,,,,,,,
5360,1058,5167,2,16384,1351,,,,,,,,,,,,
5361,1058,5167,2,16384,1351,,,,,,,,,,,,
5362,1058,5167,2,16384,1351,,,,,,,,,,,,
5365,1059,5168,2,16384,1364,,,,,,,,,,,,
5366,1059,5168,2,16384,1364,,,,,,,,,,,,
5367,1059,5168,2,16384,1364,,,,,,,,,,,,
5372,1061,5169,1,2048,5177,,,,,,,,,,,,
5377,1062,5170,1,2048,5180,,,,,,,,,,,,
5382,1063,5171,1,2048,5183,,,,,,,,,,,,
5387,1064,5172,1,2048,5186,,,,,,,,,,,,
5392,1065,5173,1,2048,5189,,,,,,,,,,,,
5397,1066,5174,1,2048,5192,,,,,,,,,,,,
5399,1068,5175,1,2048,5169,,,,,,,,,,,,
5400,1068,5175,1,2048,5169,,,,,,,,,,,,
5402,1069,5176,2,16384,5169,,,,,,,,,,,,
5404,1070,5177,1,1,3,,,,,,,,,,,,
5406,1071,5178,1,2048,5170,,,,,,,,,,,,
5407,1071,5178,1,2048,5170,,,,,,,,,,,,
5409,1072,5179,2,16384,5170,,,,,,,,,,,,
5411,1073,5180,1,1,3,,,,,,,,,,,,
5413,1074,5181,1,2048,5171,,,,,,,,,,,,
5414,1074,5181,1,2048,5171,,,,,,,,,,,,
5416,1075,5182,2,16384,5171,,,,,,,,,,,,
5418,1076,5183,1,1,3,,,,,,,,,,,,
5420,1077,5184,1,2048,5172,,,,,,,,,,,,
5421,1077,5184,1,2048,5172,,,,,,,,,,,,
5423,1078,5185,2,16384,5172,,,,,,,,,,,,
5425,1079,5186,1,1,3,,,,,,,,,,,,
