link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5]
1276,338,3,1,1,1271,,,,,
1277,338,3,1,1,1259,1262,1265,1266,1272,1273
1278,338,3,1,1,1261,,,,,
1279,338,3,1,1,1264,,,,,
1283,343,342,1,32768,1268,,,,,
1290,362,355,2,131072,1267,,,,,
1291,359,355,1,2097152,1269,,,,,
1292,356,355,2,4,1271,,,,,
1296,401,397,2,131072,1267,,,,,
1297,398,397,2,131072,1270,,,,,
1301,435,434,2,131072,1270,,,,,
1305,450,449,1,2097152,1269,,,,,
1307,320,1259,2,4,355,,,,,
1308,320,1259,2,4,355,,,,,
1309,320,1259,2,4,355,,,,,
1312,322,1260,2,2048,342,,,,,
1314,323,1261,1,32,1260,,,,,
1315,323,1261,1,32,1260,,,,,
1317,324,1262,2,2048,342,,,,,
1318,324,1262,2,2048,342,,,,,
1321,325,1263,2,131072,397,,,,,
1323,326,1264,1,32768,1263,,,,,
1324,326,1264,1,32768,1263,,,,,
1326,327,1265,2,131072,397,,,,,
1327,327,1265,2,131072,397,,,,,
1329,328,1266,1,32768,434,,,,,
1332,329,1267,2,32768,1268,,,,,
1335,330,1268,1,32768,434,,,,,
1336,330,1268,1,32768,434,,,,,
1339,332,1269,1,2097152,355,,,,,
1340,332,1269,1,2097152,355,,,,,
1341,332,1269,1,2097152,355,,,,,
1344,333,1270,2,131072,449,,,,,
1345,333,1270,2,131072,449,,,,,
1346,333,1270,2,131072,449,,,,,
1351,334,1271,1,1,1274,,,,,
1353,335,1272,1,1,1271,,,,,
1355,336,1273,2,4,1271,,,,,
1357,337,1274,1,1,3,,,,,
