link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24]
3961,625,3,1,1,3930,,,,,,,,,,,,,,,,,,,,,,,,
3962,625,3,1,1,3915,,,,,,,,,,,,,,,,,,,,,,,,
3963,625,3,1,1,3910,3913,3916,3931,3932,3935,3936,3937,3938,3940,3941,3942,3943,3945,3946,3947,3948,3950,3951,3952,3953,3955,3956,3957,3958
3964,625,3,1,1,3912,,,,,,,,,,,,,,,,,,,,,,,,
3970,643,629,1,8192,3922,3923,3924,,,,,,,,,,,,,,,,,,,,,,
3971,643,629,1,8192,3921,,,,,,,,,,,,,,,,,,,,,,,,
3980,698,678,2,32768,3917,,,,,,,,,,,,,,,,,,,,,,,,
3981,679,678,2,4,3930,,,,,,,,,,,,,,,,,,,,,,,,
3982,682,678,1,524288,8581,8584,,,,,,,,,,,,,,,,,,,,,,,
3983,698,678,2,8192,3918,3919,3920,,,,,,,,,,,,,,,,,,,,,,
4000,897,883,2,8192,8834,8953,9072,,,,,,,,,,,,,,,,,,,,,,
4001,897,883,2,32768,8715,,,,,,,,,,,,,,,,,,,,,,,,
4005,976,975,1,524288,8583,,,,,,,,,,,,,,,,,,,,,,,,
4009,989,988,1,524288,8583,,,,,,,,,,,,,,,,,,,,,,,,
4013,1002,1001,1,524288,8582,8583,,,,,,,,,,,,,,,,,,,,,,,
4017,1015,1014,1,524288,8583,,,,,,,,,,,,,,,,,,,,,,,,
4019,595,3910,2,4,678,,,,,,,,,,,,,,,,,,,,,,,,
4020,595,3910,2,4,678,,,,,,,,,,,,,,,,,,,,,,,,
4021,595,3910,2,4,678,,,,,,,,,,,,,,,,,,,,,,,,
4024,597,3911,2,2048,629,,,,,,,,,,,,,,,,,,,,,,,,
4026,598,3912,1,32,3911,,,,,,,,,,,,,,,,,,,,,,,,
4027,598,3912,1,32,3911,,,,,,,,,,,,,,,,,,,,,,,,
4029,599,3913,2,2048,629,,,,,,,,,,,,,,,,,,,,,,,,
4030,599,3913,2,2048,629,,,,,,,,,,,,,,,,,,,,,,,,
4033,600,3914,2,131072,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4035,601,3915,1,32768,3914,,,,,,,,,,,,,,,,,,,,,,,,
4036,601,3915,1,32768,3914,,,,,,,,,,,,,,,,,,,,,,,,
4038,602,3916,2,131072,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4039,602,3916,2,131072,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4042,604,3917,2,8192,3921,,,,,,,,,,,,,,,,,,,,,,,,
4045,605,3918,2,8192,3922,,,,,,,,,,,,,,,,,,,,,,,,
4048,606,3919,2,8192,3923,,,,,,,,,,,,,,,,,,,,,,,,
4051,607,3920,2,8192,3924,,,,,,,,,,,,,,,,,,,,,,,,
4054,610,3921,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4055,610,3921,1,8192,9188,,,,,,,,,,,,,,,,,,,,,,,,
4056,610,3921,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4059,611,3922,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4060,611,3922,1,8192,9188,,,,,,,,,,,,,,,,,,,,,,,,
4061,611,3922,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4064,612,3923,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4065,612,3923,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4066,612,3923,1,8192,9188,,,,,,,,,,,,,,,,,,,,,,,,
4069,613,3924,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4070,613,3924,1,8192,9188,,,,,,,,,,,,,,,,,,,,,,,,
4071,613,3924,1,8192,9189,,,,,,,,,,,,,,,,,,,,,,,,
4104,621,3930,1,1,3933,,,,,,,,,,,,,,,,,,,,,,,,
4106,622,3931,1,1,3930,,,,,,,,,,,,,,,,,,,,,,,,
4108,623,3932,2,4,3930,,,,,,,,,,,,,,,,,,,,,,,,
4110,624,3933,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,
4119,630,3934,1,8192,629,,,,,,,,,,,,,,,,,,,,,,,,
4120,630,3934,1,8192,629,,,,,,,,,,,,,,,,,,,,,,,,
4122,631,3935,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4123,631,3935,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4125,634,3936,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4126,634,3936,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4128,637,3937,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4129,637,3937,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4131,640,3938,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4132,640,3938,1,8192,3934,,,,,,,,,,,,,,,,,,,,,,,,
4141,685,3939,2,32768,678,,,,,,,,,,,,,,,,,,,,,,,,
4142,685,3939,2,32768,678,,,,,,,,,,,,,,,,,,,,,,,,
4144,686,3940,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4145,686,3940,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4147,689,3941,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4148,689,3941,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4150,692,3942,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4151,692,3942,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4153,695,3943,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4154,695,3943,2,32768,3939,,,,,,,,,,,,,,,,,,,,,,,,
4163,775,3944,2,32768,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4164,775,3944,2,32768,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4166,776,3945,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4167,776,3945,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4169,779,3946,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4170,779,3946,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4172,782,3947,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4173,782,3947,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4175,785,3948,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4176,785,3948,2,32768,3944,,,,,,,,,,,,,,,,,,,,,,,,
4185,814,3949,2,32768,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4186,814,3949,2,32768,7576,7737,7898,8059,,,,,,,,,,,,,,,,,,,,,
4188,815,3950,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4189,815,3950,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4191,818,3951,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4192,818,3951,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4194,821,3952,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4195,821,3952,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4197,824,3953,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4198,824,3953,2,32768,3949,,,,,,,,,,,,,,,,,,,,,,,,
4207,884,3954,2,32768,883,,,,,,,,,,,,,,,,,,,,,,,,
4208,884,3954,2,32768,883,,,,,,,,,,,,,,,,,,,,,,,,
4210,885,3955,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
4211,885,3955,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
4213,888,3956,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
4214,888,3956,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
4216,891,3957,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
4217,891,3957,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
4219,894,3958,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
4220,894,3958,2,32768,3954,,,,,,,,,,,,,,,,,,,,,,,,
7736,7578,7576,2,32768,8715,,,,,,,,,,,,,,,,,,,,,,,,
7735,7631,7576,2,8192,3920,3919,3918,,,,,,,,,,,,,,,,,,,,,,
7734,7631,7576,2,32768,3917,,,,,,,,,,,,,,,,,,,,,,,,
7733,7578,7576,2,8192,8835,8954,9072,,,,,,,,,,,,,,,,,,,,,,
8368,7631,7576,2,8192,3920,3919,3918,,,,,,,,,,,,,,,,,,,,,,
8369,7631,7576,2,32768,3917,,,,,,,,,,,,,,,,,,,,,,,,
8370,7578,7576,2,32768,8715,,,,,,,,,,,,,,,,,,,,,,,,
