link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27]
4404,710,3,1,1,4353,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405,710,3,1,1,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406,710,3,1,1,4348,4351,4371,4372,4375,4376,4377,4378,4379,4381,4382,4383,4384,4385,4387,4388,4389,4390,4391,4393,4394,4395,4396,4398,4399,4400,4401,9285
4407,710,3,1,1,4350,,,,,,,,,,,,,,,,,,,,,,,,,,,
4413,731,714,1,6560,4361,4362,4363,4364,,,,,,,,,,,,,,,,,,,,,,,,
4414,731,714,1,6560,4360,,,,,,,,,,,,,,,,,,,,,,,,,,,
4423,794,771,2,6560,9531,9656,9781,9908,,,,,,,,,,,,,,,,,,,,,,,,
4424,794,771,2,26240,9404,,,,,,,,,,,,,,,,,,,,,,,,,,,
4425,775,771,1,524288,10127,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,772,771,2,4,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,
4446,1004,990,2,8192,10382,10501,10620,,,,,,,,,,,,,,,,,,,,,,,,,
4447,1004,990,2,32768,10263,,,,,,,,,,,,,,,,,,,,,,,,,,,
4451,1094,1093,1,524288,10128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4455,1107,1106,1,524288,10128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4459,1120,1119,1,524288,10129,10130,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,1133,1132,1,524288,10130,,,,,,,,,,,,,,,,,,,,,,,,,,,
4465,678,4348,2,4,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,678,4348,2,4,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
4467,678,4348,2,4,771,,,,,,,,,,,,,,,,,,,,,,,,,,,
4470,680,4349,2,2048,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
4472,681,4350,1,32,4349,,,,,,,,,,,,,,,,,,,,,,,,,,,
4473,681,4350,1,32,4349,,,,,,,,,,,,,,,,,,,,,,,,,,,
4475,682,4351,2,2048,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
4476,682,4351,2,2048,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
4479,683,4352,2,131072,8050,8155,8260,8365,8470,8701,8804,8907,9010,,,,,,,,,,,,,,,,,,,
4481,684,4353,1,32768,4352,,,,,,,,,,,,,,,,,,,,,,,,,,,
4482,684,4353,1,32768,4352,,,,,,,,,,,,,,,,,,,,,,,,,,,
4505,694,4360,1,6560,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,
4506,694,4360,1,6560,11192,,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,694,4360,1,6560,11193,,,,,,,,,,,,,,,,,,,,,,,,,,,
4510,695,4361,1,6560,11193,,,,,,,,,,,,,,,,,,,,,,,,,,,
4511,695,4361,1,6560,11192,,,,,,,,,,,,,,,,,,,,,,,,,,,
4512,695,4361,1,6560,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,
4515,696,4362,1,6560,11192,,,,,,,,,,,,,,,,,,,,,,,,,,,
4516,696,4362,1,6560,11193,,,,,,,,,,,,,,,,,,,,,,,,,,,
4517,696,4362,1,6560,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,
4520,697,4363,1,6560,11193,,,,,,,,,,,,,,,,,,,,,,,,,,,
4521,697,4363,1,6560,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,
4522,697,4363,1,6560,11192,,,,,,,,,,,,,,,,,,,,,,,,,,,
4525,698,4364,1,6560,11192,,,,,,,,,,,,,,,,,,,,,,,,,,,
4526,698,4364,1,6560,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,
4527,698,4364,1,6560,11193,,,,,,,,,,,,,,,,,,,,,,,,,,,
4560,706,4370,1,1,4373,,,,,,,,,,,,,,,,,,,,,,,,,,,
4562,707,4371,1,1,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,
4564,708,4372,2,4,4370,,,,,,,,,,,,,,,,,,,,,,,,,,,
4566,709,4373,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4580,716,4375,1,6560,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,
4581,716,4375,1,6560,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,
4583,719,4376,1,6560,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,
4584,719,4376,1,6560,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,
4586,722,4377,1,6560,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,
4587,722,4377,1,6560,10738,,,,,,,,,,,,,,,,,,,,,,,,,,,
4589,725,4378,1,6560,10738,,,,,,,,,,,,,,,,,,,,,,,,,,,
4590,725,4378,1,6560,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,
4592,728,4379,1,6560,10739,,,,,,,,,,,,,,,,,,,,,,,,,,,
4593,728,4379,1,6560,10738,,,,,,,,,,,,,,,,,,,,,,,,,,,
4607,779,4381,2,26240,10877,,,,,,,,,,,,,,,,,,,,,,,,,,,
4608,779,4381,2,26240,10877,,,,,,,,,,,,,,,,,,,,,,,,,,,
