link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23]
6619,1582,3,1,1,6541,6544,6547,6550,6553,6556,6559,6562,6565,6568,6571,6574,6577,6580,6583,6586,6589,6592,6595,6598,6601,6604,6607,6610
6620,1582,3,1,1,6543,6555,6567,6579,6591,6603,,,,,,,,,,,,,,,,,,
6621,1582,3,1,1,6549,6561,6573,6585,6597,6609,,,,,,,,,,,,,,,,,,
6622,1582,3,1,1,6546,6558,6570,6582,6594,6606,,,,,,,,,,,,,,,,,,
6623,1582,3,1,1,6540,6552,6564,6576,6588,6600,,,,,,,,,,,,,,,,,,
6627,1591,1590,2,12288,10447,10448,,,,,,,,,,,,,,,,,,,,,,
6631,1604,1603,2,12288,10597,,,,,,,,,,,,,,,,,,,,,,,
6635,1617,1616,2,12288,10747,,,,,,,,,,,,,,,,,,,,,,,
6639,1630,1629,2,12288,10895,,,,,,,,,,,,,,,,,,,,,,,
6643,1643,1642,2,12288,11041,11042,,,,,,,,,,,,,,,,,,,,,,
6647,1656,1655,2,12288,11188,,,,,,,,,,,,,,,,,,,,,,,
6651,1669,1668,2,12288,10448,,,,,,,,,,,,,,,,,,,,,,,
6655,1682,1681,2,12288,10596,,,,,,,,,,,,,,,,,,,,,,,
6659,1695,1694,2,12288,10745,,,,,,,,,,,,,,,,,,,,,,,
6663,1708,1707,2,12288,10895,,,,,,,,,,,,,,,,,,,,,,,
6667,1721,1720,2,12288,11042,,,,,,,,,,,,,,,,,,,,,,,
6671,1734,1733,2,12288,11186,,,,,,,,,,,,,,,,,,,,,,,
6675,1747,1746,2,12288,10447,10448,,,,,,,,,,,,,,,,,,,,,,
6679,1760,1759,2,12288,10598,,,,,,,,,,,,,,,,,,,,,,,
6683,1773,1772,2,12288,10746,10747,,,,,,,,,,,,,,,,,,,,,,
6687,1786,1785,2,12288,10893,10894,,,,,,,,,,,,,,,,,,,,,,
6691,1799,1798,2,12288,11040,11042,,,,,,,,,,,,,,,,,,,,,,
6695,1812,1811,2,12288,11186,11187,11188,,,,,,,,,,,,,,,,,,,,,
6699,1825,1824,2,12288,10448,,,,,,,,,,,,,,,,,,,,,,,
6703,1838,1837,2,12288,10598,,,,,,,,,,,,,,,,,,,,,,,
6707,1851,1850,2,12288,10747,,,,,,,,,,,,,,,,,,,,,,,
6711,1864,1863,2,12288,10893,,,,,,,,,,,,,,,,,,,,,,,
6715,1877,1876,2,12288,11040,,,,,,,,,,,,,,,,,,,,,,,
6719,1890,1889,2,12288,11186,,,,,,,,,,,,,,,,,,,,,,,
6722,1496,6539,2,12288,1590,,,,,,,,,,,,,,,,,,,,,,,
6724,1497,6540,1,6,6539,,,,,,,,,,,,,,,,,,,,,,,
6725,1497,6540,1,6,6539,,,,,,,,,,,,,,,,,,,,,,,
6727,1498,6541,2,12288,1590,,,,,,,,,,,,,,,,,,,,,,,
6728,1498,6541,2,12288,1590,,,,,,,,,,,,,,,,,,,,,,,
6731,1499,6542,2,12288,1668,,,,,,,,,,,,,,,,,,,,,,,
6733,1500,6543,1,6,6542,,,,,,,,,,,,,,,,,,,,,,,
6734,1500,6543,1,6,6542,,,,,,,,,,,,,,,,,,,,,,,
6736,1501,6544,2,12288,1668,,,,,,,,,,,,,,,,,,,,,,,
6737,1501,6544,2,12288,1668,,,,,,,,,,,,,,,,,,,,,,,
6740,1502,6545,2,12288,1746,,,,,,,,,,,,,,,,,,,,,,,
6742,1503,6546,1,6,6545,,,,,,,,,,,,,,,,,,,,,,,
6743,1503,6546,1,6,6545,,,,,,,,,,,,,,,,,,,,,,,
6745,1504,6547,2,12288,1746,,,,,,,,,,,,,,,,,,,,,,,
6746,1504,6547,2,12288,1746,,,,,,,,,,,,,,,,,,,,,,,
6749,1505,6548,2,12288,1824,,,,,,,,,,,,,,,,,,,,,,,
6751,1506,6549,1,6,6548,,,,,,,,,,,,,,,,,,,,,,,
6752,1506,6549,1,6,6548,,,,,,,,,,,,,,,,,,,,,,,
6754,1507,6550,2,12288,1824,,,,,,,,,,,,,,,,,,,,,,,
6755,1507,6550,2,12288,1824,,,,,,,,,,,,,,,,,,,,,,,
6758,1509,6551,2,12288,1603,,,,,,,,,,,,,,,,,,,,,,,
