vlink,slink,net,flit-width,link-prop,fifo-depth,psim-q,row,col,max_vc,proute-q,router_unit_area,vswitch_unit_area,sswitch_unit_area,pcu_unit_area,pmu_unit_area,total_router_area,total_vswitch_area,total_sswitch_area,total_pcu_area,total_pmu_area,total_net_area,total_area,proute-algo
3,4,static,512,db,4,1,16,8,0,1,0,119812.090366,9221.706017,849000.0,532000.0,0,18331249.825998,1410921.0206010002,54336000.0,34048000.0,19742170.846599,108126170.846599,
2,4,static,512,db,4,1,16,8,0,1,0,66731.767461,9221.706017,849000.0,532000.0,0,10209960.421533,1410921.0206010002,54336000.0,34048000.0,11620881.442134,100004881.442134,
2,4,static,512,cd,4,1,16,8,0,1,0,53766.295787,7490.457042,849000.0,532000.0,0,8226243.255411,1146039.927426,54336000.0,34048000.0,9372283.182837,97756283.18283701,
3,4,static,512,cd,4,1,16,8,0,1,0,102262.90979800001,7490.457042,849000.0,532000.0,0,15646225.199094001,1146039.927426,54336000.0,34048000.0,16792265.12652,105176265.12652001,
1,4,dynamic,512,db,4,1,16,8,2.0,1,70390.006926,28176.173807,9221.706017,849000.0,532000.0,11262401.10816,4508187.809119999,1475472.9627200002,54336000.0,34048000.0,17246061.88,105630061.88,route_min_directed_valient
1,4,dynamic,256,db,4,1,16,8,2.0,1,36965.447448,28176.173807,9221.706017,849000.0,532000.0,5914471.59168,4508187.809119999,1475472.9627200002,54336000.0,34048000.0,11898132.36352,100282132.36352,route_min_directed_valient
0,4,dynamic,512,db,4,1,16,8,3.0,1,127695.319067,0,9221.706017,849000.0,532000.0,20431251.05072,0,1475472.9627200002,54336000.0,34048000.0,21906724.013439998,110290724.01344,route_min_directed_valient
2,4,dynamic,512,db,4,1,16,8,0.0,1,70390.006926,66731.767461,9221.706017,849000.0,532000.0,11262401.10816,10677082.79376,1475472.9627200002,54336000.0,34048000.0,23414956.864639997,111798956.86464,route_min_directed_valient
0,0,dynamic,512,db,4,1,16,8,6.0,1,241833.84827800002,0,0,849000.0,532000.0,38693415.72448,0,0,54336000.0,34048000.0,38693415.72448,127077415.72448,route_min_directed_valient
1,4,dynamic,512,db,4,4,16,8,2.0,1,50577,28176.173807,9221.706017,849000.0,532000.0,8092320,4508187.809119999,1475472.9627200002,54336000.0,34048000.0,14075980.771839999,102459980.77184,route_min_directed_valient
1,4,dynamic,512,db,4,8,16,8,2.0,1,47275,28176.173807,9221.706017,849000.0,532000.0,7564000,4508187.809119999,1475472.9627200002,54336000.0,34048000.0,13547660.771839999,101931660.77184,route_min_directed_valient
1,4,dynamic,512,db,4,16,16,8,2.0,1,45624,28176.173807,9221.706017,849000.0,532000.0,7299840,4508187.809119999,1475472.9627200002,54336000.0,34048000.0,13283500.771839999,101667500.77184,route_min_directed_valient
