app,appname,vlink,slink,net,flit-width,link-prop,fifo-depth,psim-q,row,col,proute-q,StatHopsScal,StatHopsVec,DynHopsScal,DynHopsVec,pcu_total_active,pmu_total_active,dag_total_active,router_flit_energy,router_flit_energy_scalar,vswitch_flit_energy,sswitch_flit_energy,total_router_energy,total_vswitch_energy,total_sswitch_energy,total_net_energy,pcu_unit_energy,pmu_unit_energy,dag_unit_energy,total_pcu_energy,total_pmu_energy,total_dag_energy,total_energy,total_router_power,total_vswitch_power,total_sswitch_power,total_net_power,total_pcu_power,total_pmu_power,total_dag_power,total_power,proute-algo
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,0,p2p,512,db,20,1,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,0,p2p,512,db,4,1,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,3,4,static,512,db,4,1,16,8,1,278,655360,0,0,65568,131072,16,0,0,9.724999999999999e-12,3.8818e-13,0,6.373375999999999e-06,1.0791404000000001e-10,6.373483914039999e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4687232000000001e-05,3.9362691072e-05,5.025776000000001e-10,6.042390956364e-05,0.0,0.03682989211148287,6.236039503262083e-07,0.03683051571543319,0.08487325555189572,0.22746557952949745,2.904250241261146e-06,0.3491722550470676,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,2,4,static,512,db,4,1,16,8,1,278,655360,0,0,65568,131072,16,0,0,7.2535833333333315e-12,3.8818e-13,0,4.7537083733333326e-06,1.0791404000000001e-10,4.753816287373333e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4687232000000001e-05,3.9362691072e-05,5.025776000000001e-10,5.880424193697333e-05,0.0,0.02747030247694776,6.236039503262083e-07,0.027470926080898083,0.08487325555189572,0.22746557952949745,2.904250241261146e-06,0.33981266541253247,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,2,4,static,512,cd,4,1,16,8,1,278,655360,0,0,65568,131072,16,0,0,4.6126666666666655e-12,2.0623000000000002e-13,0,3.022957226666666e-06,5.7331940000000006e-11,3.023014558606666e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4687232000000001e-05,3.9362691072e-05,5.025776000000001e-10,5.7073440208206666e-05,0.0,0.01721805800948155,3.2654933388012693e-07,0.017218384558815428,0.0836550416075731,0.2242006907369752,2.8625645757508446e-06,0.32507697946793945,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,3,4,static,512,cd,4,1,16,8,1,278,655360,0,0,65568,131072,16,0,0,6.946375e-12,2.0623000000000002e-13,0,4.5523763199999995e-06,5.7331940000000006e-11,4.552433651939999e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4687232000000001e-05,3.9362691072e-05,5.025776000000001e-10,5.860285930154e-05,0.0,0.025929271796273825,3.2654933388012693e-07,0.025929598345607707,0.0836550416075731,0.2242006907369752,2.8625645757508446e-06,0.33378819325473175,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,1,16,8,1,153,589824,0,0,65552,131104,0,1.4558871941182926e-11,9.027213870295184e-12,5.6443750000000006e-12,3.8818e-13,0.0,3.32918784e-06,5.939154e-11,3.32924723154e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,5.7385196335539996e-05,0.0,0.019242080732417812,3.432719517270079e-07,0.019242424004369537,0.08486872890368523,0.22756450908586487,0.0,0.3316756619939196,route_min_directed_valient
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,256,db,4,1,16,8,1,153,589824,0,0,65552,131104,0,7.947437726325031e-12,5.332492044332273e-12,5.6443750000000006e-12,3.8818e-13,0.0,3.32918784e-06,5.939154e-11,3.32924723154e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,5.7385196335539996e-05,0.0,0.019242080732417812,3.432719517270079e-07,0.019242424004369537,0.08486872890368523,0.22756450908586487,0.0,0.3316756619939196,route_min_directed_valient
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,4,dynamic,512,db,4,1,16,8,1,186,0,3,262144,65552,131104,0,1.8487553828379373e-11,9.658124146623257e-12,0,3.8818e-13,4.846430285159122e-06,0,7.220148000000001e-11,4.846502486639122e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,5.890245159063912e-05,0.023163392496028837,0.0,3.4508517024490034e-07,0.023163737581199086,0.07018012885464663,0.18817892970348135,0.0,0.28152279613932707,route_min_directed_valient
DotProduct__N_1048576_ts_65536_op_1,DotProduct,2,4,dynamic,512,db,4,1,16,8,1,188,786432,0,0,65552,131104,0,1.4558871941182926e-11,9.027213870295184e-12,7.2535833333333315e-12,3.8818e-13,0.0,5.7044500479999986e-06,7.297784000000001e-11,5.7045230258399985e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,5.9760472129839995e-05,0.0,0.032970650390715305,4.217982151939706e-07,0.03297107218893049,0.08486872890368523,0.22756450908586487,0.0,0.34540431017848056,route_min_directed_valient
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,0,dynamic,512,db,4,1,16,8,1,0,0,247,327680,65552,131104,0,2.6865770445055515e-11,1.1493532946328547e-11,0,0,8.806214562073534e-06,0,0,8.806214562073534e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,6.286216366607354e-05,0.04207359863392434,0.0,0.0,0.04207359863392434,0.07015431069491891,0.18810970165070112,0.0,0.30033761097954437,route_min_directed_valient
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,4,16,8,1,153,589824,0,0,65552,131104,0,0,0,5.6443750000000006e-12,3.8818e-13,0,3.32918784e-06,5.939154e-11,3.32924723154e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,5.7385196335539996e-05,0.0,0.019242080732417812,3.432719517270079e-07,0.019242424004369537,0.08486872890368523,0.22756450908586487,0.0,0.3316756619939196,route_min_directed_valient
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,8,16,8,1,153,589824,0,0,65552,131104,0,0,0,5.6443750000000006e-12,3.8818e-13,0,3.32918784e-06,5.939154e-11,3.32924723154e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,5.7385196335539996e-05,0.0,0.019242080732417812,3.432719517270079e-07,0.019242424004369537,0.08486872890368523,0.22756450908586487,0.0,0.3316756619939196,route_min_directed_valient
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,16,16,8,1,153,589824,0,0,65552,131104,0,0,0,5.6443750000000006e-12,3.8818e-13,0,3.32918784e-06,5.939154e-11,3.32924723154e-06,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,1.4683648000000002e-05,3.9372301104e-05,0.0,5.7385196335539996e-05,0.0,0.019242080732417812,3.432719517270079e-07,0.019242424004369537,0.08486872890368523,0.22756450908586487,0.0,0.3316756619939196,route_min_directed_valient
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,0,0,p2p,512,db,20,1,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,0,0,p2p,512,db,4,1,16,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,3,4,static,512,db,4,1,16,8,1,249,2359296,0,0,262176,262144,48,0,0,9.724999999999999e-12,3.8818e-13,0,2.2944153599999997e-05,9.665682e-11,2.2944250256819996e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,5.872742400000001e-05,7.8725382144e-05,1.5077328000000002e-09,0.00016039856413362,0.0,0.06687951216526217,2.8174327463731574e-07,0.06687979390853681,0.17118354140736358,0.22947523995021382,4.394863977007407e-06,0.46754297013009116,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,2,4,static,512,db,4,1,16,8,1,249,2359296,0,0,262176,262144,48,0,0,7.2535833333333315e-12,3.8818e-13,0,1.7113350143999997e-05,9.665682e-11,1.7113446800819996e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,5.872742400000001e-05,7.8725382144e-05,1.5077328000000002e-09,0.00015456776067762,0.0,0.04988340511911667,2.8174327463731574e-07,0.049883686862391294,0.17118354140736358,0.22947523995021382,4.394863977007407e-06,0.45054686308394576,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,2,4,static,512,cd,4,1,16,8,1,249,2359296,0,0,262176,262144,48,0,0,4.6126666666666655e-12,2.0623000000000002e-13,0,1.0882646015999997e-05,5.1351270000000005e-11,1.0882697367269998e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,5.872742400000001e-05,7.8725382144e-05,1.5077328000000002e-09,0.00014833701124406998,0.0,0.030591142576845767,1.4434853617057163e-07,0.03059128692538194,0.16508292175575204,0.22129722735105203,4.238240312583452e-06,0.41697567427249854,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,3,4,static,512,cd,4,1,16,8,1,249,2359296,0,0,262176,262144,48,0,0,6.946375e-12,2.0623000000000002e-13,0,1.6388554752e-05,5.1351270000000005e-11,1.638860610327e-05,2.2400000000000003e-10,3.003135e-10,3.1411100000000006e-11,5.872742400000001e-05,7.8725382144e-05,1.5077328000000002e-09,0.00015384291998007,0.0,0.04606826449282492,1.4434853617057163e-07,0.04606840884136109,0.16508292175575204,0.22129722735105203,4.238240312583452e-06,0.4324527961884777,
