packet_rate,buffer_size,flit_data_width,num_message_classes,num_nodes_per_router,explicit_pipeline_register,synthesis area (um^2),synthesis slack (ns),flit energy (J)
100,16,512,4,1,0,127695.319067,0.0,1.861266786507349e-11
100,16,32,4,1,0,14356.718812,0.0,2.8403003886146414e-12
100,16,64,4,1,0,21930.245694,0.0,3.831317764804003e-12
100,16,128,4,1,0,37071.917456,0.0,6.1248682824025295e-12
100,16,256,4,1,0,67260.958986,0.0,1.0228217924724477e-11
100,8,512,2,1,0,70390.006926,0.0,1.4634348113831902e-11
100,32,512,8,1,0,241833.848278,0.0,2.668909348441927e-11
100,8,512,4,1,0,72426.391909,0.0,1.6109504132231407e-11
100,16,512,4,1,0,127695.319067,0.0,1.861266786507349e-11
100,32,512,4,1,0,236215.391276,0.0,2.5510038531737987e-11
100,16,512,4,4,0,213414.198008,0.0,2.7797927461139898e-11
100,16,32,4,4,0,25903.916696,0.0,5.008402478731226e-12
100,16,64,4,4,0,38890.097516,0.0,6.990721434528774e-12
100,16,128,4,4,0,63153.557177,0.0,9.464172813487882e-12
100,16,256,4,4,0,113071.840478,0.0,1.5392493241838223e-11
100,8,512,2,4,0,120652.036462,0.0,2.2763622325170975e-11
100,32,512,8,4,0,413047.667743,0.0,4.097531363820316e-11
100,8,512,4,4,0,124888.957436,0.0,2.573415977961433e-11
100,16,512,4,4,0,213414.198008,0.0,2.7797927461139898e-11
100,32,512,4,4,0,389553.249166,0.0,3.5185560738186983e-11
