app,appname,vlink,slink,net,flit-width,link-prop,fifo-depth,psim-q,row,col,proute-algo,proute-q,cycle,pcu,pmu-comp,pmu-mem,mc,loadbw,storebw,vc
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,0,p2p,512,db,20,1,16,8,,1,173057,1.59,1.56,3.13,6.25,94.66796875,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,0,p2p,512,db,4,1,16,8,,1,173229,1.59,0.0,3.13,6.25,94.5703125,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,3,4,static,512,db,4,1,16,8,,1,173049,4.69,0.0,3.13,5.88,94.68749999999999,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,2,4,static,512,db,4,1,16,8,,1,173049,4.69,0.0,3.13,5.88,94.68749999999999,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,2,4,static,512,cd,4,1,16,8,,1,175569,4.69,0.0,3.13,5.88,93.3203125,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,3,4,static,512,cd,4,1,16,8,,1,175569,4.69,0.0,3.13,5.88,93.3203125,0.0,
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,1,16,8,route_min_directed_valient,1,173016,3.13,1.59,3.17,6.25,94.68749999999999,0.0,0
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,256,db,4,1,16,8,route_min_directed_valient,1,173016,3.13,1.59,3.17,6.25,94.68749999999999,0.0,0
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,4,dynamic,512,db,4,1,16,8,route_min_directed_valient,1,209228,3.13,1.59,3.17,6.25,78.30078125,0.0,1
DotProduct__N_1048576_ts_65536_op_1,DotProduct,2,4,dynamic,512,db,4,1,16,8,route_min_directed_valient,1,173016,3.13,1.59,3.17,6.25,94.68749999999999,0.0,0
DotProduct__N_1048576_ts_65536_op_1,DotProduct,0,0,dynamic,512,db,4,1,16,8,route_min_directed_valient,1,209305,3.13,1.59,3.17,6.25,78.28124999999999,0.0,2
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,4,16,8,route_min_directed_valient,1,173016,3.13,1.59,3.17,6.25,94.68749999999999,0.0,0
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,8,16,8,route_min_directed_valient,1,173016,3.13,1.59,3.17,6.25,94.68749999999999,0.0,0
DotProduct__N_1048576_ts_65536_op_1,DotProduct,1,4,dynamic,512,db,4,16,16,8,route_min_directed_valient,1,173016,3.13,1.59,3.17,6.25,94.68749999999999,0.0,0
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,0,0,p2p,512,db,20,1,16,8,,1,342139,1.59,6.25,6.25,12.5,95.78125,0.0,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,0,0,p2p,512,db,4,1,16,8,,1,344609,6.35,0.0,6.25,12.5,95.07812499999999,0.0,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,3,4,static,512,db,4,1,16,8,,1,343067,9.38,0.0,6.25,11.76,95.50781249999999,0.0,
TPCHQ6__N_1048576_ts_65536_op_1,TPCHQ6,2,4,static,512,db,4,1,16,8,,1,343067,9.38,0.0,6.25,11.76,95.50781249999999,0.0,
