sim_scalar,packet_rate,buffer_size,flit_data_width,num_message_classes,num_nodes_per_router,explicit_pipeline_register,synthesis area (um^2),synthesis slack (ns),flit energy (J),dynamic power (W),static power (W)
0,100,4,128,2,1,0,13142.141802,0.0,4.711758493223024e-12,0.0053535,7.637e-05
1,100,4,128,2,1,0,13142.141802,0.0,3.881006864988558e-12,0.0044096,7.426e-05
0,100,8,128,2,1,0,20211.632704,0.0,4.3454405793920775e-12,0.00792,0.0001165
1,100,8,128,2,1,0,20211.632704,0.0,3.3412158454954464e-12,0.0060897,0.0001133
0,100,8,128,4,1,0,22160.96969,0.0,5.271026761332605e-12,0.0077209999999999996,0.0001281
1,100,8,128,4,1,0,22160.96969,0.0,4.1947706171490994e-12,0.0061445,0.000125
0,100,16,128,4,1,0,37071.917456,0.0,6.1049259531561815e-12,0.011625,0.0002149
1,100,16,128,4,1,0,37071.917456,0.0,4.295767251339146e-12,0.00818,0.000209
0,100,16,128,8,1,0,41316.560427,0.0,7.169147813855351e-12,0.012232,0.0002426
1,100,16,128,8,1,0,41316.560427,0.0,5.3610362208416364e-12,0.009146999999999999,0.0002366
0,100,32,128,8,1,0,71100.664988,0.0,9.021285263265098e-12,0.017716,0.0004248
1,100,32,128,8,1,0,71100.664988,0.0,6.0281087687137185e-12,0.011838,0.0004125
0,100,4,256,2,1,0,23380.694635,0.0,7.899137475796516e-12,0.008975,0.0001363
1,100,4,256,2,1,0,23380.694635,0.0,6.000176025347651e-12,0.0068174,0.0001313
0,100,8,256,2,1,0,36965.447448,0.0,7.947437726325031e-12,0.014485,0.0002144
1,100,8,256,2,1,0,36965.447448,0.0,5.332492044332273e-12,0.009719,0.0002069
0,100,8,256,4,1,0,38847.743439,0.0,8.923402512288367e-12,0.013071,0.0002245
1,100,8,256,4,1,0,38847.743439,0.0,6.280720917531404e-12,0.0092,0.0002169
0,100,16,256,4,1,0,67260.958986,0.0,1.0332423064804119e-11,0.019675,0.0003953
1,100,16,256,4,1,0,67260.958986,0.0,6.0172250813990125e-12,0.011458,0.0003796
