packet_rate,XBAR_FULL,LINKS_SW,DIRS_SW,WIDTH,BACKPRESSURE,DIRS_CU,LINKS_CU,synthesis area (um^2),synthesis slack (ns),flit energy (J)
100,1,2,4,4,0,1,4,802.034997,0.66,3.1445e-14
100,1,2,4,4,1,1,4,1081.781997,0.53,6.229166666666667e-14
100,1,2,4,4,0,1,6,979.055993,0.63,3.0672857142857144e-14
100,1,2,4,4,1,1,6,1335.554995,0.5,6.148571428571428e-14
100,1,2,4,4,0,1,8,1194.569996,0.62,3.1749375e-14
100,1,2,4,4,1,1,8,1588.391994,0.44,6.101875e-14
100,1,3,4,4,0,1,4,1351.23299,0.61,3.229875e-14
100,1,3,4,4,1,1,4,1790.684998,0.51,6.5075e-14
100,1,3,4,4,0,1,6,1623.023992,0.59,3.200888888888889e-14
100,1,3,4,4,1,1,6,2131.622994,0.47,6.883333333333335e-14
100,1,3,4,4,0,1,8,1919.384989,0.56,3.1640499999999997e-14
100,1,3,4,4,1,1,8,2465.657995,0.46,6.5585e-14
100,1,4,4,4,0,1,4,2020.706996,0.6,3.6265e-14
100,1,4,4,4,1,1,4,2519.594994,0.54,7.0265e-14
100,1,4,4,4,0,1,6,2450.799,0.58,3.909090909090909e-14
100,1,4,4,4,1,1,6,3014.738996,0.44,6.621363636363636e-14
100,1,4,4,4,0,1,8,2823.443992,0.56,3.8850000000000006e-14
100,1,4,4,4,1,1,8,3512.456998,0.41,6.930416666666667e-14
100,1,5,4,4,0,1,4,2919.968989,0.53,3.728333333333333e-14
100,1,5,4,4,1,1,4,3597.984,0.4,6.941666666666667e-14
100,1,5,4,4,0,1,6,3303.260998,0.54,4.125769230769231e-14
100,1,5,4,4,1,1,6,4151.393999,0.37,6.941538461538462e-14
100,1,5,4,4,0,1,8,3815.486984,0.53,3.810714285714286e-14
100,1,5,4,4,1,1,8,4678.361996,0.36,6.8975e-14
100,1,2,4,8,0,1,4,1139.112001,0.62,5.805666666666668e-14
100,1,2,4,8,1,1,4,1516.553998,0.53,1.0725833333333333e-13
100,1,2,4,8,0,1,6,1408.328999,0.58,5.698642857142858e-14
100,1,2,4,8,1,1,6,1870.010995,0.49,1.0536428571428572e-13
