sim_scalar,packet_rate,XBAR_FULL,LINKS_SW,DIRS_SW,WIDTH,BACKPRESSURE,DIRS_CU,LINKS_CU,synthesis area (um^2),synthesis slack (ns),flit energy (J),dynamic power (W),static power (W)
0,100,0,1,4,32,0,4,1,1631.331003,0.49,1.8632874999999998e-13,0.00149063,7.475e-06
1,100,0,1,4,32,0,4,1,1631.331003,0.49,1.8632874999999998e-13,0.00149063,7.475e-06
0,100,0,1,4,32,1,4,1,2266.40699,0.45,3.8529999999999993e-13,0.0030824,1.14e-05
1,100,0,1,4,32,1,4,1,2266.40699,0.45,3.8529999999999993e-13,0.0030824,1.14e-05
0,100,1,1,4,32,0,4,1,1631.331003,0.49,1.8632874999999998e-13,0.00149063,7.475e-06
1,100,1,1,4,32,0,4,1,1631.331003,0.49,1.8632874999999998e-13,0.00149063,7.475e-06
0,100,1,1,4,32,1,4,1,2266.40699,0.45,3.8529999999999993e-13,0.0030824,1.14e-05
1,100,1,1,4,32,1,4,1,2266.40699,0.45,3.8529999999999993e-13,0.0030824,1.14e-05
0,100,0,2,4,32,0,4,1,2797.353008,0.42,1.9423333333333336e-13,0.0023308,1.293e-05
1,100,0,2,4,32,0,4,1,2797.353008,0.42,1.9423333333333336e-13,0.0023308,1.293e-05
0,100,0,2,4,32,1,4,1,3752.891991,0.38,3.8162499999999995e-13,0.004579499999999999,1.885e-05
1,100,0,2,4,32,1,4,1,3752.891991,0.38,3.8162499999999995e-13,0.004579499999999999,1.885e-05
0,100,1,2,4,32,0,4,1,3285.477006,0.4,1.98875e-13,0.0023865,1.456e-05
1,100,1,2,4,32,0,4,1,3285.477006,0.4,1.98875e-13,0.0023865,1.456e-05
0,100,1,2,4,32,1,4,1,4298.814008,0.39,3.95275e-13,0.004743300000000001,2.153e-05
1,100,1,2,4,32,1,4,1,4298.814008,0.39,3.95275e-13,0.004743300000000001,2.153e-05
0,100,0,3,4,32,0,4,1,3913.884017,0.35,1.9266875e-13,0.0030827000000000003,1.757e-05
1,100,0,3,4,32,0,4,1,3913.884017,0.35,1.9266875e-13,0.0030827000000000003,1.757e-05
0,100,0,3,4,32,1,4,1,5213.168987,0.34,3.8400624999999995e-13,0.0061440999999999996,2.595e-05
1,100,0,3,4,32,1,4,1,5213.168987,0.34,3.8400624999999995e-13,0.0061440999999999996,2.595e-05
0,100,1,3,4,32,0,4,1,5267.691032,0.36,2.0866875000000002e-13,0.0033387,2.25e-05
1,100,1,3,4,32,0,4,1,5267.691032,0.36,2.0866875000000002e-13,0.0033387,2.25e-05
0,100,1,3,4,32,1,4,1,6654.726009,0.31,3.9664375e-13,0.0063463,3.132e-05
1,100,1,3,4,32,1,4,1,6654.726009,0.31,3.9664375e-13,0.0063463,3.132e-05
0,100,0,4,4,32,0,4,1,4985.487019,0.39,1.9057000000000001e-13,0.0038114000000000004,2.232e-05
1,100,0,4,4,32,0,4,1,4985.487019,0.39,1.9057000000000001e-13,0.0038114000000000004,2.232e-05
0,100,0,4,4,32,1,4,1,6602.894987,0.39,3.8086499999999996e-13,0.0076173,3.25e-05
1,100,0,4,4,32,1,4,1,6602.894987,0.39,3.8086499999999996e-13,0.0076173,3.25e-05
0,100,1,4,4,32,0,4,1,7675.902045,0.37,2.0803499999999998e-13,0.0041607,3.158e-05
1,100,1,4,4,32,0,4,1,7675.902045,0.37,2.0803499999999998e-13,0.0041607,3.158e-05
0,100,1,4,4,32,1,4,1,9451.728021,0.35,3.9674000000000003e-13,0.0079348,4.328e-05
1,100,1,4,4,32,1,4,1,9451.728021,0.35,3.9674000000000003e-13,0.0079348,4.328e-05
0,100,0,1,4,32,0,1,4,1402.010998,0.49,1.8335250000000003e-13,0.00146682,6.848e-06
1,100,0,1,4,32,0,1,4,1402.010998,0.49,1.8335250000000003e-13,0.00146682,6.848e-06
0,100,0,1,4,32,1,1,4,2018.834985,0.41,3.62925e-13,0.0029034,1.062e-05
1,100,0,1,4,32,1,1,4,2018.834985,0.41,3.62925e-13,0.0029034,1.062e-05
