packet_rate,XBAR_FULL,LINKS_SW,DIRS_SW,WIDTH,BACKPRESSURE,DIRS_CU,LINKS_CU,synthesis area (um^2),synthesis slack (ns),flit energy (J)
100,1,1,4,32,0,1,4,1402.010998,0.49,1.8335250000000003e-13
100,1,1,4,32,1,1,4,2018.834985,0.41,3.62925e-13
100,1,1,4,32,0,1,6,1895.165998,0.34,1.9213999999999998e-13
100,1,1,4,32,1,1,6,2639.285981,0.32,3.6638e-13
100,1,1,4,32,0,1,8,2296.359002,0.41,1.9684166666666667e-13
100,1,1,4,32,1,1,8,3230.369982,0.39,3.7002500000000003e-13
100,1,2,4,32,0,1,4,3010.410006,0.42,1.93225e-13
100,1,2,4,32,1,1,4,3982.562993,0.39,3.6900000000000004e-13
100,1,2,4,32,0,1,6,3771.378022,0.39,2.0052142857142856e-13
100,1,2,4,32,1,1,6,4905.810001,0.37,3.728785714285715e-13
100,1,2,4,32,0,1,8,4374.747034,0.37,1.9533125000000003e-13
100,1,2,4,32,1,1,8,5689.71001,0.35,3.7056249999999997e-13
100,1,3,4,32,0,1,4,5115.240027,0.37,2.0800000000000002e-13
100,1,3,4,32,1,1,4,6434.649006,0.36,3.8593125e-13
100,1,3,4,32,0,1,6,6122.961049,0.37,2.097777777777778e-13
100,1,3,4,32,1,1,6,7676.019026,0.33,3.9006111111111114e-13
100,1,3,4,32,0,1,8,7234.69507,0.32,2.0903e-13
100,1,3,4,32,1,1,8,8946.288043,0.26,3.8787e-13
100,1,4,4,32,0,1,4,7490.457042,0.36,2.0623e-13
100,1,4,4,32,1,1,4,9221.706017,0.44,3.8818e-13
100,1,4,4,32,0,1,6,8835.606079,0.37,2.1226363636363632e-13
100,1,4,4,32,1,1,6,10750.311051,0.36,3.901363636363636e-13
100,1,4,4,32,0,1,8,10127.754106,0.38,2.0618333333333335e-13
100,1,4,4,32,1,1,8,12264.291077,0.38,3.884583333333333e-13
100,1,5,4,32,0,1,4,10407.267088,0.4,2.0658333333333333e-13
100,1,5,4,32,1,1,4,12590.604058,0.36,3.896666666666667e-13
100,1,5,4,32,0,1,6,12270.609149,0.4,2.2454230769230775e-13
100,1,5,4,32,1,1,6,14640.912117,0.38,4.0534615384615385e-13
100,1,5,4,32,0,1,8,13681.395184,0.36,2.1961785714285716e-13
100,1,5,4,32,1,1,8,16265.57415,0.32,4.008928571428572e-13
100,1,1,4,256,0,1,4,9840.051011,0.01,1.4576625e-12
100,1,1,4,256,1,1,4,14215.733901,0.1,2.8225e-12
100,1,1,4,256,0,1,6,13099.202998,0.01,1.4948900000000001e-12
100,1,1,4,256,1,1,6,18590.129862,0.0,2.8746000000000003e-12
100,1,1,4,256,0,1,8,16124.940015,0.13,1.4588749999999999e-12
100,1,1,4,256,1,1,8,22721.984853,0.09,2.9034166666666665e-12
100,1,2,4,256,0,1,4,20577.726103,0.0,1.527e-12
100,1,2,4,256,1,1,4,27179.333942,0.03,2.8612499999999997e-12
100,1,2,4,256,0,1,6,25272.819202,0.01,1.601142857142857e-12
100,1,2,4,256,1,1,6,33065.721013,0.02,2.9604999999999994e-12
100,1,2,4,256,0,1,8,40019.965967,0.04,2.6223124999999998e-12
100,1,2,4,256,1,1,8,48908.104751,0.03,3.9991250000000005e-12
100,1,3,4,256,0,1,4,47086.999431,0.01,3.0679375e-12
100,1,3,4,256,1,1,4,56112.496215,0.01,4.4526250000000005e-12
100,1,3,4,256,0,1,6,57847.723293,0.0,3.1926111111111115e-12
100,1,3,4,256,1,1,6,67948.099054,0.01,4.590111111111111e-12
100,1,3,4,256,0,1,8,48748.401534,0.0,1.6286500000000001e-12
100,1,3,4,256,1,1,8,59918.508271,0.0,3.0315e-12
100,1,4,4,256,0,1,4,78457.505676,0.01,4.09595e-12
100,1,4,4,256,1,1,4,89659.67041,0.05,5.51495e-12
100,1,4,4,256,0,1,6,69379.361462,0.0,2.27e-12
100,1,4,4,256,1,1,6,81648.566172,0.0,3.691909090909091e-12
100,1,4,4,256,0,1,8,79668.575526,0.0,2.436833333333333e-12
100,1,4,4,256,1,1,8,93241.511208,0.0,3.856791666666667e-12
100,1,5,4,256,0,1,4,70496.59593,0.0,1.6076666666666667e-12
100,1,5,4,256,1,1,4,84019.572617,0.0,3.04125e-12
100,1,5,4,256,0,1,6,82674.073123,0.0,1.6364230769230772e-12
100,1,5,4,256,1,1,6,97563.02478,0.0,3.075269230769231e-12
100,1,5,4,256,0,1,8,93632.878478,0.0,1.639214285714286e-12
100,1,5,4,256,1,1,8,109639.999109,0.0,3.07875e-12
100,1,1,4,512,0,1,4,19460.493024,0.01,2.9157875000000002e-12
100,1,1,4,512,1,1,4,28176.173807,0.01,5.6443750000000006e-12
100,1,1,4,512,0,1,6,31858.514244,0.0,3.9636e-12
100,1,1,4,512,1,1,6,42723.016972,0.0,6.746099999999999e-12
100,1,1,4,512,0,1,8,39661.361218,0.0,3.875e-12
100,1,1,4,512,1,1,8,52684.630892,0.01,6.6939166666666666e-12
100,1,2,4,512,0,1,4,53766.295787,0.0,4.612666666666666e-12
100,1,2,4,512,1,1,4,66731.767461,0.0,7.253583333333333e-12
100,1,2,4,512,0,1,6,67219.423266,0.0,5.0895e-12
100,1,2,4,512,1,1,6,82629.492887,0.0,7.792857142857141e-12
100,1,2,4,512,0,1,8,79430.478946,0.0,5.181125000000001e-12
100,1,2,4,512,1,1,8,96985.626513,0.0,7.90625e-12
100,1,3,4,512,0,1,4,102262.909798,0.0,6.946375e-12
100,1,3,4,512,1,1,4,119812.090366,0.05,9.725e-12
100,1,3,4,512,0,1,6,127772.535991,0.0,7.404444444444443e-12
100,1,3,4,512,1,1,6,147585.900509,0.0,1.0194444444444444e-11
100,1,3,4,512,0,1,8,149656.44895,0.0,7.7809e-12
100,1,3,4,512,1,1,8,171629.750413,0.0,1.0569999999999999e-11
100,1,4,4,512,0,1,4,155885.99637,0.0,8.158800000000001e-12
100,1,4,4,512,1,1,4,177828.058835,0.0,1.1010000000000003e-11
100,1,4,4,512,0,1,6,188832.727261,0.0,8.709090909090907e-12
100,1,4,4,512,1,1,6,213351.363678,0.0,1.1527272727272727e-11
100,1,4,4,512,0,1,8,217223.94585,0.0,9.112500000000002e-12
100,1,4,4,512,1,1,8,243783.998216,0.0,1.195e-11
100,1,5,4,512,0,1,4,227356.379937,0.0,9.416666666666668e-12
100,1,5,4,512,1,1,4,254919.824255,0.0,1.22875e-11
100,1,5,4,512,0,1,6,262527.280161,0.0,9.96923076923077e-12
100,1,5,4,512,1,1,6,291280.614469,0.0,1.283846153846154e-11
100,1,5,4,512,0,1,8,303839.042797,0.0,1.0517857142857144e-11
100,1,5,4,512,1,1,8,334867.79313,0.0,1.342857142857143e-11
