,BACKPRESSURE,DIRS_CU,DIRS_SW,LINKS_CU,LINKS_SW,WIDTH,XBAR_FULL,flit energy (J),packet_rate,sim_scalar,synthesis area (um^2),synthesis slack (ns)
0,0,1,4,4,2,4,1,3.1445e-14,100,0,802.034997,0.66
1,1,1,4,4,2,4,1,6.229166666666667e-14,100,0,1081.781997,0.53
2,0,1,4,6,2,4,1,3.0672857142857144e-14,100,0,979.055993,0.63
3,1,1,4,6,2,4,1,6.148571428571426e-14,100,0,1335.554995,0.5
4,0,1,4,8,2,4,1,3.1749374999999996e-14,100,0,1194.5699960000002,0.62
5,1,1,4,8,2,4,1,6.101875e-14,100,0,1588.3919939999998,0.44
6,0,1,4,4,3,4,1,3.229875e-14,100,0,1351.23299,0.61
7,1,1,4,4,3,4,1,6.5075e-14,100,0,1790.684998,0.51
8,0,1,4,6,3,4,1,3.200888888888889e-14,100,0,1623.023992,0.59
9,1,1,4,6,3,4,1,6.883333333333335e-14,100,0,2131.6229940000003,0.47
10,0,1,4,8,3,4,1,3.1640499999999997e-14,100,0,1919.3849890000001,0.56
11,1,1,4,8,3,4,1,6.5585e-14,100,0,2465.657995,0.46
12,0,1,4,4,4,4,1,3.6265e-14,100,0,2020.7069960000001,0.6
13,1,1,4,4,4,4,1,7.0265e-14,100,0,2519.594994,0.54
14,0,1,4,6,4,4,1,3.909090909090909e-14,100,0,2450.799,0.58
15,1,1,4,6,4,4,1,6.621363636363636e-14,100,0,3014.738996,0.44
16,0,1,4,8,4,4,1,3.8850000000000006e-14,100,0,2823.443992,0.56
17,1,1,4,8,4,4,1,6.930416666666668e-14,100,0,3512.4569979999997,0.41
18,0,1,4,4,5,4,1,3.7283333333333326e-14,100,0,2919.968989,0.53
19,1,1,4,4,5,4,1,6.941666666666667e-14,100,0,3597.9840000000004,0.4
20,0,1,4,6,5,4,1,4.1257692307692316e-14,100,0,3303.260998,0.54
21,1,1,4,6,5,4,1,6.941538461538463e-14,100,0,4151.393999,0.37
22,0,1,4,8,5,4,1,3.810714285714286e-14,100,0,3815.4869840000006,0.53
23,1,1,4,8,5,4,1,6.8975e-14,100,0,4678.361996,0.36
24,0,1,4,4,2,8,1,5.805666666666667e-14,100,0,1139.112001,0.62
25,1,1,4,4,2,8,1,1.0725833333333332e-13,100,0,1516.553998,0.53
26,0,1,4,6,2,8,1,5.698642857142858e-14,100,0,1408.328999,0.58
27,1,1,4,6,2,8,1,1.0536428571428572e-13,100,0,1870.0109949999999,0.49
