x1873,ALMs,IP,OP,Valid,Timestamp,B,Cycles
true,334748.0,12,1,false,6336,10368,3537831.0
true,107323.0,1,2,false,6336,18720,6006114.0
true,978068.0,21,2,false,6336,10464,1360607.0
true,1061460.0,23,2,false,6336,10176,1324245.0
true,420404.0,16,1,false,6336,9984,2898898.0
true,444431.0,17,1,false,6336,7872,2758771.0
true,762023.0,16,2,false,6336,9984,1488868.0
true,1352868.0,30,2,false,6336,11232,1227331.0
false,76676.0,1,1,true,6336,576,40423432.0
true,1186800.0,26,2,false,6336,10560,1277580.0
true,268132.0,9,1,false,6336,9216,4014451.0
true,198827.0,6,1,true,6336,9408,5130814.0
true,290626.0,10,1,false,6336,7968,3708481.0
true,502485.0,10,2,false,6336,15840,2351206.0
true,1103111.0,24,2,false,6336,10176,1308007.0
true,487012.0,19,1,false,6336,9600,2571883.0
true,1103111.0,24,2,false,6337,11136,1305725.0
true,502485.0,10,2,false,6337,15648,2331035.0
true,245296.0,8,1,true,6337,7392,4113668.0
true,978068.0,21,2,false,6337,10176,1361639.0
true,245296.0,8,1,true,6337,6528,4149209.0
true,398980.0,15,1,false,6337,7776,2969190.0
true,1144734.0,25,2,false,6337,10560,1291326.0
true,334748.0,12,1,false,6337,10656,3569621.0
true,334748.0,12,1,false,6337,11040,3622523.0
false,3638894.0,88,2,false,6337,19008,1162592.0
true,268132.0,9,1,false,6337,6528,3942297.0
true,594901.0,12,2,false,6337,8352,1638906.0
true,77800.0,1,1,true,6337,9312,11553773.0
true,636580.0,13,2,false,6337,8160,1603145.0
true,886602.0,19,2,false,6337,10656,1407198.0
true,78025.0,1,1,true,6337,18624,11473052.0
true,1144734.0,25,2,false,6337,10656,1289004.0
true,1061460.0,23,2,false,6337,10560,1323560.0
false,3797744.0,92,2,false,6337,19008,1143393.0
true,725877.0,15,2,false,6337,7488,1567703.0
true,886602.0,19,2,false,6337,10272,1405763.0
true,1103111.0,24,2,false,6337,10560,1306495.0
true,487012.0,19,1,false,6337,9504,2568764.0
true,77460.0,1,1,true,6337,4032,11796915.0
true,1269885.0,28,2,false,6337,13344,1258857.0
true,978068.0,21,2,false,6337,10656,1360296.0
true,221805.0,7,1,true,6337,10944,4866913.0
true,222213.0,7,1,true,6337,6528,4399159.0
true,845094.0,18,2,false,6337,9696,1429820.0
true,1019779.0,22,2,false,6337,10080,1340565.0
true,222059.0,7,1,true,6337,10752,4824761.0
true,1269885.0,28,2,false,6337,10560,1252930.0
true,78025.0,1,1,true,6337,18720,11467271.0
true,1352868.0,30,2,false,6337,11136,1228044.0
true,1311389.0,29,2,false,6337,10944,1239453.0
true,928095.0,20,2,false,6337,10464,1382597.0
true,928095.0,20,2,false,6337,10272,1381899.0
true,441497.0,17,1,false,6337,9600,2766798.0
false,3599190.0,87,2,false,6337,19200,1167128.0
true,1228356.0,27,2,false,6337,11232,1261153.0
true,377723.0,14,1,false,6337,8640,3091414.0
true,198929.0,6,1,true,6337,9216,5094926.0
false,3758055.0,91,2,false,6337,19104,1147855.0
true,803569.0,17,2,false,6338,8736,1466123.0
true,1394728.0,31,2,false,6338,13536,1222395.0
true,1186800.0,26,2,false,6338,10464,1276952.0
true,107323.0,1,2,false,6338,18624,6020174.0
true,107323.0,1,2,false,6338,18528,6011550.0
true,928095.0,20,2,false,6338,10656,1382340.0
true,1186800.0,26,2,false,6338,10176,1279962.0
true,77262.0,1,1,true,6338,1440,12618191.0
true,978068.0,21,2,false,6338,10752,1361202.0
true,893993.0,19,2,false,6338,9408,1407752.0
true,268132.0,9,1,false,6338,7968,3908118.0
false,3837429.0,93,2,false,6338,19008,1138659.0
true,1061460.0,23,2,false,6338,10656,1321367.0
true,334748.0,12,1,false,6338,10848,3596217.0
true,108945.0,1,2,false,6338,5856,6096360.0
true,970193.0,21,2,false,6338,11136,1364099.0
true,1394728.0,31,2,false,6338,11232,1217541.0
true,1228356.0,27,2,false,6338,10560,5994353.0
false,3559483.0,86,2,false,6338,19200,1172087.0
true,398980.0,15,1,false,6338,8160,2961623.0
true,510720.0,10,2,false,6338,7872,1861546.0
true,510720.0,10,2,false,6338,7776,1865110.0
true,487012.0,19,1,false,6338,9696,2572031.0
true,1352868.0,30,2,false,6338,10560,1233020.0
true,594901.0,12,2,false,6338,8160,1642380.0
true,678213.0,14,2,false,6338,8160,1567589.0
true,1269885.0,28,2,false,6338,11232,1248693.0
true,845094.0,18,2,false,6338,9408,1431692.0
true,356329.0,13,1,false,6338,10848,3412668.0
true,108729.0,1,2,false,6338,11136,6027638.0
true,244956.0,8,1,true,6338,9120,4241117.0
true,510720.0,10,2,false,6338,7680,1868194.0
true,1269885.0,28,2,false,6338,9984,1257893.0
true,444431.0,17,1,false,6338,7488,2778791.0
true,462532.0,18,1,false,6338,9504,2660316.0
true,465750.0,18,1,false,6338,7488,2691990.0
true,1019779.0,22,2,false,6338,10176,1341958.0
true,312913.0,11,1,false,6338,6432,3601837.0
true,719811.0,15,2,false,6338,8832,1520115.0
true,1394728.0,31,2,false,6338,10560,1224014.0
true,970193.0,21,2,false,6338,11040,1363583.0
true,77663.0,1,1,true,5201,7104,11603399.0
true,377723.0,14,1,false,5201,9120,3109542.0
true,441497.0,17,1,false,5201,8736,2747137.0
true,886602.0,19,2,false,5201,10368,1407661.0
true,510720.0,10,2,false,5201,7584,1870799.0
true,1103111.0,24,2,false,5201,11424,1308234.0
true,502485.0,10,2,false,5201,16128,2380703.0
true,462532.0,18,1,false,5201,10560,2701568.0
true,1061460.0,23,2,false,5201,11424,1326193.0
true,762023.0,16,2,false,5201,9312,1486044.0
true,1269885.0,28,2,false,5201,10944,1250421.0
true,762023.0,16,2,false,5201,9408,1487556.0
true,334748.0,12,1,false,5201,8832,3395898.0
true,725877.0,15,2,false,5201,7680,1555701.0
true,1352868.0,30,2,false,5202,10080,1236894.0
true,198827.0,6,1,true,5202,9600,5169021.0
true,1011653.0,22,2,false,5202,12288,1356312.0
false,3400525.0,82,2,false,5202,19200,6208082.0
true,202416.0,3,2,false,5202,15552,6000686.0
true,935780.0,20,2,false,5202,7584,1446383.0
true,465750.0,18,1,false,5202,7968,2666466.0
true,1352868.0,30,2,false,5202,11040,1228580.0
true,978068.0,21,2,false,5202,10560,1361956.0
true,1311389.0,29,2,false,5202,11040,1239000.0
true,1011653.0,22,2,false,5202,11424,1346343.0
true,1061460.0,23,2,false,5202,10752,1322141.0
true,1311389.0,29,2,false,5202,10464,1242534.0
true,1394728.0,31,2,false,5202,10272,1226536.0
true,156340.0,2,2,false,5202,15552,6005870.0
true,107443.0,1,2,false,5202,18144,6018095.0
true,1394728.0,31,2,false,5202,10464,1223891.0
true,803569.0,17,2,false,5202,10272,1460311.0
true,1352868.0,30,2,false,5202,10272,1234816.0
true,1061460.0,23,2,false,5202,10944,1323089.0
false,3519689.0,85,2,false,5202,19008,1177583.0
false,3281231.0,79,2,false,5202,19200,1207322.0
true,928095.0,20,2,false,5202,10368,1383510.0
true,1352868.0,30,2,false,5202,10464,1232973.0
true,803569.0,17,2,false,5202,9600,1456753.0
false,3479972.0,84,2,false,5202,19200,1182005.0
true,420404.0,16,1,false,5202,8832,2852348.0
