B,OP,IP,x1873,ALMs,Cycles,Valid,Timestamp
576,1,1,false,76676.0,40423432.0,true,6336.0
7392,1,8,true,245296.0,4113668.0,true,6337.0
9312,1,1,true,77800.0,11553773.0,true,6337.0
4032,1,1,true,77460.0,11796915.0,true,6337.0
10944,1,7,true,221805.0,4866913.0,true,6337.0
18720,1,1,true,78025.0,11467271.0,true,6337.0
1440,1,1,true,77262.0,12618191.0,true,6338.0
7104,1,1,true,77663.0,11603399.0,true,5201.0
8448,1,1,true,77749.0,11573461.0,true,5202.0
9024,1,8,true,244956.0,4230521.0,true,5202.0
9312,1,6,true,198827.0,5113585.0,true,5202.0
1824,1,1,true,77304.0,12344117.0,true,5202.0
3456,1,1,false,76775.0,32762831.0,true,5202.0
4992,1,1,true,77533.0,11714799.0,true,5203.0
1920,1,1,false,76716.0,33980915.0,true,5203.0
7680,1,1,true,77693.0,11590523.0,true,4054.0
3072,1,1,false,76756.0,32947449.0,true,4054.0
7392,1,7,true,222059.0,4373708.0,true,2893.0
2496,1,1,false,76736.0,33348581.0,true,2894.0
5568,1,1,true,77568.0,11678197.0,true,2894.0
6144,1,5,true,175539.0,7466554.0,true,2895.0
6624,1,1,true,77632.0,11621573.0,true,2895.0
7392,1,6,true,198929.0,4880082.0,true,1770.0
18240,1,1,false,77241.0,31509709.0,true,730.0
10752,1,5,false,172796.0,10694291.0,true,730.0
15936,1,4,true,151768.0,11448261.0,true,734.0
